,SG_UF,NR_ZONA,NR_LOCAL_VOTACAO,2009,2010,2011,2013,2015,2020,SY_MODELOS_DISTINTOS
510,AC,9,1830,0,0,0,0,0,4,1
511,AC,9,1848,4,0,0,0,0,0,1
512,AC,9,1856,0,0,0,0,0,4,1
513,AC,9,1864,0,0,0,0,0,4,1
514,AC,9,1872,0,0,0,0,0,12,1
515,AC,9,1880,0,0,0,0,0,12,1
516,AC,9,1899,0,0,0,0,0,35,1
517,AC,9,1902,4,0,4,0,0,0,2
518,AC,9,1910,0,0,0,0,0,4,1
519,AC,9,1929,0,0,0,0,0,10,1
520,AC,9,1937,0,0,0,0,0,16,1
521,AC,9,1953,0,0,0,0,0,12,1
522,AC,9,1961,0,0,0,0,0,11,1
523,AC,9,1970,3,0,0,0,0,0,1
524,AC,9,1988,3,0,0,0,0,0,1
525,AC,9,1996,0,0,0,0,0,8,1
526,AC,9,2003,8,0,0,0,0,0,1
527,AC,9,2011,0,0,0,0,0,4,1
528,AC,9,2020,0,0,0,0,0,16,1
529,AC,9,2038,0,0,0,0,0,7,1
530,AC,9,2046,0,0,0,0,0,16,1
531,AC,9,2054,0,0,0,0,0,8,1
532,AC,9,2062,0,0,0,0,0,12,1
533,AC,9,2070,0,0,0,0,0,16,1
534,AC,9,2089,0,0,0,0,0,16,1
535,AC,9,2097,0,0,0,0,0,19,1
536,AC,9,2100,0,0,0,0,0,23,1
537,AC,9,2119,0,0,0,0,0,8,1
538,AC,9,2127,0,0,0,0,0,19,1
539,AC,9,2135,0,0,0,0,0,16,1
540,AC,9,2143,0,0,0,0,0,4,1
541,AC,9,2151,0,0,0,0,0,4,1
542,AC,9,2160,0,0,0,0,0,16,1
543,AC,9,2178,0,0,0,0,0,8,1
544,AC,9,2186,0,0,0,0,0,24,1
545,AC,9,2194,0,0,0,0,0,7,1
546,AC,9,2208,0,0,0,0,0,15,1
547,AC,9,2216,0,0,0,0,0,15,1
548,AC,9,2224,0,0,0,0,0,16,1
549,AC,9,2232,0,0,0,0,0,8,1
550,AC,9,2240,0,0,0,0,0,8,1
551,AC,9,2259,0,0,0,0,0,12,1
552,AC,9,2267,0,0,0,0,0,4,1
553,AC,9,2275,0,0,0,0,0,15,1
554,AC,9,2283,0,0,0,0,0,8,1
555,AC,9,2305,0,0,0,0,0,15,1
556,AC,9,2313,0,0,0,0,0,16,1
557,AC,9,2321,0,0,0,0,0,8,1
558,AC,9,2330,0,0,0,0,0,27,1
559,AC,9,2356,0,0,0,0,0,12,1
560,AC,9,2364,0,0,0,0,0,11,1
561,AC,9,2380,0,0,0,0,0,12,1
562,AL,1,1015,0,0,0,0,0,36,1
563,AL,1,1023,0,0,0,0,0,32,1
564,AL,1,1040,0,0,0,0,0,20,1
565,AL,1,1066,0,0,0,0,0,19,1
566,AL,1,1082,0,0,0,0,0,31,1
567,AL,1,1090,0,0,0,0,0,31,1
568,AL,1,1112,0,0,0,0,0,16,1
